🔒 Row ID,Основное/Название,Основное/фото,Тип/ID,"Гипс/Объем, мл",Выбор/Гипс ID,Выбор/Смесь ID,Выбор/краситель,Свечи/Свеча,"Свечи/Объем, мл"
R0VcxD2uRHyEF1e1KZV-wQ,Ваза бочонок,https://ir.ozone.ru/s3/multimedia-1-p/wc1000/7304388325.jpg,A6apoYfmSjCNSjpHvFVmjA,250,sWP8u50jSXi9pkR4aB31tw,YO6Ha6xfTzuY8YizbJ4ssA,"0,04",,
awGnyswlQEiLOpjw1kL05Q,Ваза цилиндр,https://ir.ozone.ru/s3/multimedia-1-r/wc1000/7298998515.jpg,A6apoYfmSjCNSjpHvFVmjA,220,sWP8u50jSXi9pkR4aB31tw,YO6Ha6xfTzuY8YizbJ4ssA,"0,05",,
viIw2lLqTPeUhkuEUx-zHg,Восьмиугольник,,niCjhp9gSS2mGKFf7tytdQ,65,,,,true,35
0CCOynqdRJyU4NjsQnS0gQ,Граненая свечка,https://feedback08.wbbasket.ru/vol2825/part282585/282585041/photos/fs.webp,niCjhp9gSS2mGKFf7tytdQ,235,,,,true,
bw7YvevuTC6xvrK9ck5lXA,Квадратная свечка,https://feedback05.wbbasket.ru/vol1733/part173330/173330418/photos/fs.webp,niCjhp9gSS2mGKFf7tytdQ,75,sWP8u50jSXi9pkR4aB31tw,YO6Ha6xfTzuY8YizbJ4ssA,,true,65
Dqwjkkp2Q6yc2ygBBp8Qwg,Узкая свечка,https://basket-16.wbbasket.ru/vol2459/part245904/245904590/images/big/2.webp,niCjhp9gSS2mGKFf7tytdQ,46,sWP8u50jSXi9pkR4aB31tw,YO6Ha6xfTzuY8YizbJ4ssA,"0,04",true,85
v38Od-pzRuWcIqZgxs1.Lw,Девушка голова,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/9tTLIOV2xeqE1hGyD91h/pub/O52GBULIYVOoISa0b2e9.png,a.e.3JDyUQpi.VKOvfD6otg,75,,,,,
OnkMmYexTaywO4GulkUTGQ,Девушка лицо,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/9tTLIOV2xeqE1hGyD91h/pub/38p5UhykUHzFIEqQVNkD.png,a.e.3JDyUQpi.VKOvfD6otg,70,a-ZcTqQSLQ7GkhG6.WATRqg,r8qGtZyBRE-3yOT6ZEihwA,,,
VpE5DqNdQjeLachZ4gwqIA,Девушки руки,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/9tTLIOV2xeqE1hGyD91h/pub/N5MFp2Lheggr50Poke9m.png,a.e.3JDyUQpi.VKOvfD6otg,65,sWP8u50jSXi9pkR4aB31tw,PVPVdrBLRROqLqR90Rh3.A,"0,02",,
EVQyW1zxQimnE8YIi.TD-w,Поднос круглый,https://ir.ozone.ru/s3/multimedia-1-k/wc1000/7107100436.jpg,UjcSXWmUSRW40hfMoPAwow,140,sWP8u50jSXi9pkR4aB31tw,YO6Ha6xfTzuY8YizbJ4ssA,,,
a.TnkV7e2QP-.xJffpAZkdA,Сердце,,a.e.3JDyUQpi.VKOvfD6otg,13,,,,,
AP832zMDRWGEZzGG17nqzw,Нецке,,a.e.3JDyUQpi.VKOvfD6otg,8,,,,,
JwiazMZ0RWK.1GkZytGkBw,Кашпо,,niCjhp9gSS2mGKFf7tytdQ,165,,,,true,
kzP-VTWBSD2Ax7zcgx.K3g,Свечка с крышкой,,niCjhp9gSS2mGKFf7tytdQ,110,,,,true,110
8KfhkhFUQn2oGy5FwD2zmg,Крышка от свечки,,niCjhp9gSS2mGKFf7tytdQ,52,,,,,
